year,tmp,month,tmpLoess,deconID
1950,-1,0,-0.554394482249112,142
1951,1.5,0,-0.5731026375043946,143
1952,0.2,0,-0.5873376184111141,144
1953,-0.8,0,-0.597286674154498,145
1954,-3.2,0,-0.6033043211520743,146
1955,-1.7,0,-0.606135171305537,147
1956,0.2,0,-0.6059206578289107,148
1957,0.3,0,-0.6026540924259933,149
1958,-0.4,0,-0.5964793672539948,150
1959,-0.1,0,-0.5875158799908498,151
1960,-0.1,0,-0.576607740360366,152
1961,-0.8,0,-0.5641825589225533,153
1962,1.7,0,-0.5502125533749975,154
1963,-7.4,0,-0.5342974844652026,155
1964,-2.6,0,-0.5163468306875103,156
1965,1.2,0,-0.4963342615055879,157
1966,-2.7,0,-0.4741607134403836,158
1967,0.7,0,-0.44951962483571606,159
1968,-1.1,0,-0.4224885073199047,160
1969,0.5,0,-0.39359027192360685,161
1970,-2.6,0,-0.3631892057133257,162
1971,-1.1,0,-0.33120479563825,163
1972,-2.3,0,-0.29742811967078353,164
1973,0,0,-0.26188120611132604,165
1974,3.3,0,-0.22447489373499252,166
1975,4.5,0,-0.1847394458129088,167
1976,1.2,0,-0.14266094146105956,168
1977,0.4,0,-0.09870768102992145,169
1978,0.8,0,-0.05384388364227277,170
1979,-4.5,0,-0.009138450812628207,171
1980,-2.7,0,0.035041774145327054,172
1981,-1.5,0,0.07866700571163676,173
1982,-2.3,0,0.12154682193659028,174
1983,4,0,0.16342953334435606,175
1984,1.1,0,0.20434033767494952,176
1985,-5.5,0,0.2441247592005027,177
1986,0.1,0,0.28234405579601685,178
1987,-5.9,0,0.31886055523108325,179
1988,3.5,0,0.3538473942815443,180
1989,2.5,0,0.37751506735934015,181
1990,2.5,0,0.4001856229533729,182
1991,1.5,0,0.4222121427421257,183
1992,1,0,0.4440092681440362,184
1993,2.5,0,0.4657647270333811,185
1994,3,0,0.4875055340331329,186
1995,0.2,0,0.5091612919070343,187
1996,-2.8,0,0.5306212072453604,188
1997,-2.6,0,0.5518002110076949,189
1998,2.4,0,0.5726719018864657,190
1999,2.6,0,0.5932451237825518,191
2000,1.1,0,0.6135083573817681,192
2001,0.9,0,0.6334272270548169,193
2002,1.2,0,0.6529636595602,194
2003,-0.3,0,0.6720811384203884,195
2004,-0.1,0,0.6907457477484229,196
2005,2,0,0.7089381180342045,197
2006,-2.6,0,0.7266480571115466,198
2007,4.8,0,0.7438639361126178,199
2008,3.7,0,0.760591655938633,200
2009,-2.2,0,0.7768092960965873,201
2010,-3.7,0,0.7924730175854364,202
2011,1,0,0.8075707936770016,203
2012,1.9,0,0.8221302121095988,204
2013,0.2,0,0.836181221093149,205
2014,2.1,0,0.8497427678565472,206
2015,2.2,0,0.8628338680012035,207
2016,1,0,0.8754567079816766,208
2017,-2.2,0,0.8875939435136075,209
1881,-0.1,1,-0.04674821963112663,212
1882,1.5,1,-0.026585382898623777,213
1883,2.3,1,-0.0060128495408164895,214
1884,2.7,1,0.014943332710181778,215
1885,3,1,0.03621727054726165,216
1886,-2.9,1,0.0576972289009845,217
1887,-0.8,1,0.07923650657460257,218
1888,-2.6,1,0.1007055685650542,219
1889,-2.6,1,0.12199256076142007,220
1890,-2.6,1,0.14301625398266538,221
1891,-0.6,1,0.16373243232985857,222
1892,0.5,1,0.1841326743513534,223
1893,1.8,1,0.2042276248145498,224
1894,1.6,1,0.2240309616662941,225
1895,-6.8,1,0.24354566941124034,226
1896,-0.2,1,0.26277185317140805,227
1897,1.2,1,0.28174357875189315,228
1898,1.1,1,0.30052085433313636,229
1899,2,1,0.3191749359007403,230
1900,1.1,1,0.33778614089579406,231
1901,-4.1,1,0.356438893670493,232
1902,-1.3,1,0.37524358271897285,233
1903,3.6,1,0.3944013894961387,234
1904,1.1,1,0.4142210682675582,235
1905,1.3,1,0.4351016363965172,236
1906,0.3,1,0.45759588318135513,237
1907,-1.5,1,0.4824983314699338,238
1908,1.2,1,0.5109424759683705,239
1909,-2.5,1,0.5443014626735732,240
1910,2.4,1,0.5832393602142787,241
1911,1.3,1,0.6080089902872672,242
1912,2.3,1,0.6307106784224814,243
1913,1.3,1,0.6502100518122447,244
1914,3.1,1,0.6654027339521136,245
1915,1,1,0.6755129363048606,246
1916,0.8,1,0.6807390130896023,247
1917,-3.8,1,0.6815200123245952,248
1918,1.7,1,0.6789299711031931,249
1919,-0.5,1,0.6742198385432605,250
1920,3,1,0.6679576043497697,251
1921,1.3,1,0.6603601576981539,252
1922,-1.3,1,0.651622200466921,253
1923,1,1,0.6421793147018136,254
